rank,label,score,score_error
1,Novak_Djokovic,2.883509388398551,0.002174836692001555
2,Rafael_Nadal,2.6438251419434664,0.0020057203555690407
3,Roger_Federer,2.6311508740796454,0.0020064153255307305
4,Andy_Murray,2.3437932999489814,0.001886360507973691
5,Juan_Martin_del_Potro,2.0573265873143636,0.001857233080270461
6,Robin_Soderling,1.952716613496171,0.0027357850463636873
7,David_Ferrer,1.7799941572891937,0.0014894202187602484
8,Tomas_Berdych,1.761607370887747,0.0014456950256394614
9,Kei_Nishikori,1.743281017673782,0.0015129451402531742
10,Stan_Wawrinka,1.7249611208025528,0.001473383303088542
11,Jo-Wilfried_Tsonga,1.7065964718974957,0.0015215956817923935
12,Milos_Raonic,1.6396595477038636,0.0014789595128444045
13,Andy_Roddick,1.6011564931133067,0.0023757216804408806
14,Alexander_Zverev,1.6004323306721977,0.0016534308988022015
15,Marin_Cilic,1.5860389739389311,0.0013930614283747139
16,Dominic_Thiem,1.5290048342182625,0.0015330795954913076
17,Gael_Monfils,1.5153790775453417,0.0014307271378269982
18,Nick_Kyrgios,1.4854981542679264,0.0018227394272916327
19,Mardy_Fish,1.472250143962823,0.0021828854450989554
20,Stefanos_Tsitsipas,1.4721737498956071,0.0021670642434242745
21,Richard_Gasquet,1.4561933036647208,0.0013726502332049126
22,Daniil_Medvedev,1.4294803951066113,0.0019927637664505084
23,Grigor_Dimitrov,1.4138377649197318,0.001377067932807168
24,David_Nalbandian,1.3885039769486909,0.002411469663531889
25,John_Isner,1.3828677933356344,0.0012859953147688979
26,Roberto_Bautista_Agut,1.380111174751017,0.0014091903223726878
27,David_Goffin,1.3756300523198952,0.0013991398002885507
28,Kevin_Anderson,1.3295689760437244,0.0013469964827123675
29,Nicolas_Almagro,1.3136611761819388,0.0014091358895345436
30,Matteo_Berrettini,1.1914147183648784,0.002447494042887301
31,Alex_De_Minaur,1.186945644084016,0.002377534602900156
32,Philipp_Kohlschreiber,1.1839597576251297,0.00125812933150549
33,Gilles_Simon,1.1751117307677168,0.0012133791128766949
34,Karen_Khachanov,1.1445124187437814,0.0018658679220132871
35,Denis_Shapovalov,1.134918569704418,0.0020894524717259806
36,Fernando_Verdasco,1.1324158104194035,0.0012585367428228184
37,Feliciano_Lopez,1.117798973402858,0.001287837019770088
38,Lucas_Pouille,1.1072378665721665,0.0017244753144578713
39,Jack_Sock,1.0980441039529114,0.001586791313698818
40,Juan_Carlos_Ferrero,1.0959877344202045,0.0026429967739105887
41,Juan_Monaco,1.087608537132392,0.0014603104976546157
42,Fabio_Fognini,1.0841469656390788,0.0012409427722974021
43,Sam_Querrey,1.0836425282881912,0.0012732490358438161
44,Borna_Coric,1.0769247251216614,0.0016347633137012022
45,Tommy_Haas,1.076232973077355,0.00184647682377107
46,Janko_Tipsarevic,1.0700248798888163,0.0014588213027210372
47,Gilles_Muller,1.0576298642837876,0.0015829136616860903
48,Ivan_Ljubicic,1.0499457231795628,0.002662725153403023
49,Andrey_Rublev,1.0230790793136784,0.0019407060543065455
50,Tommy_Robredo,1.0220259784924466,0.0015852544912860122
51,Egor_Gerasimov,1.0216077275466988,0.003939747898179791
52,Alexandr_Dolgopolov,1.0182839014884275,0.0013813920185491752
53,Diego_Schwartzman,1.014530104107162,0.0016187749448902152
54,Viktor_Troicki,1.0143670988197853,0.0013235603342464403
55,Hyeon_Chung,1.0093864987036707,0.0021581695270013646
56,Felix_Auger_Aliassime,1.002020279937595,0.002850174534474625
57,Radek_Stepanek,1.0003906342882771,0.0016834526526168043
58,Marcos_Baghdatis,0.9822660775978568,0.0013883377279459567
59,Kyle_Edmund,0.9591607871829515,0.0017371682072181256
60,Ernests_Gulbis,0.9552730193864186,0.001504126850320691
61,Pablo_Carreno_Busta,0.9499685334169431,0.001477167024985155
62,Lleyton_Hewitt,0.9439638270968488,0.001999524686041837
63,Jerzy_Janowicz,0.9323565817054422,0.0019204687412588306
64,Nikolay_Davydenko,0.9314848206946117,0.001788972226917547
65,Ivo_Karlovic,0.9246345637200957,0.0013793915646388342
66,Jurgen_Melzer,0.9152117264999695,0.001587194923930423
67,Florian_Mayer,0.9126040895237538,0.001500596482724752
68,Bernard_Tomic,0.9100061524114581,0.0014190191870190121
69,Michael_Llodra,0.9041915863950828,0.0021187264172784384
70,Mikhail_Youzhny,0.9034004479194372,0.001394041524221616
71,Julien_Benneteau,0.8987893757029636,0.0014858674455173575
72,Steve_Johnson,0.8941221809540497,0.0014575257514513275
73,Jeremy_Chardy,0.8919632321597435,0.0012980968059187786
74,Andreas_Seppi,0.8803768113709989,0.0011822603747844772
75,Pablo_Cuevas,0.8798324950343404,0.0014538832675211782
76,Benoit_Paire,0.8436417099298773,0.0012713022664082945
77,Bassam_Beidas,0.8191012218136933,0.008675314102277802
78,Filip_Krajinovic,0.8172954207655247,0.002290817468640197
79,Taylor_Fritz,0.8051932128463414,0.001950175801787904
80,Leonardo_Mayer,0.7958591213614988,0.001423432489397084
81,Jarkko_Nieminen,0.7898676178424183,0.0015395760062154764
82,Martin_Klizan,0.7782026219580626,0.001587412008627361
83,Thomaz_Bellucci,0.7724749819475235,0.001437987199906241
84,Albert_Ramos,0.769616229397773,0.0013107833109640384
85,Juan_Ignacio_Chela,0.7672438995545395,0.002169137407665032
86,Guido_Pella,0.7586469240253023,0.0017198792993069626
87,Reilly_Opelka,0.7564732022797562,0.0029735585438993963
88,Nikoloz_Basilashvili,0.752094529482905,0.0018568894424417315
89,Yoshihito_Nishioka,0.7511784783791514,0.0024184389209174046
